numcode,country,num_articles1990,num_articles1991,num_articles1992,num_articles1993,num_articles1994,num_articles1995,num_articles1996,num_articles1997,num_articles1998,num_articles1999,num_articles2000,num_articles2001,num_articles2002,num_articles2003,num_articles2004,num_articles2005,num_articles2006,num_articles2007,num_articles2008,num_articles2009,num_articles2010,num_articles2011,num_articles2012,num_articles2013,num_articles2014,num_articles2015
192,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Equatorial Guinea,9.876773,37.2615,4.46775,16.39252,16.85948,89.47562,161.8237,12.8387,74.1239,24.84169,14.7754,64.3841,17.89915,27.7657,7.729147,9.365,4.654783,9.5721,-4.19629,1.88796,16.77451,9.259521,4.454,2.656699,0.7821976,1.918456
231,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,,,,,,,,,,,,,,,,,,,,,,,,,,
254,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,
258,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Gabon,1.234111,-1.1365,2.269871,-2.5975,-2.376693,-6.342679,-8.589433,-5.843942,3.27435,-3.358829,5.486753,-2.4741,0.218573,1.533961,4.47949,3.44826,2.637426,2.165168,4.984339,4.74922,3.475273,3.82719,4.8488,4.38489,5.562772,4.374485
268,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Ghana,0.251386,0.331889,0.3585,2.95116,4.2795,1.647297,1.73357,1.1872,2.237678,3.157,3.32933,1.68555,0.9556738,1.791715,1.568114,1.35866,3.116282,5.58667,9.51742,9.132936,7.85567,8.27967,7.855368,6.7533,8.79713,8.5323
292,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Guatemala,0.6235192,0.9642681,0.912683,1.256,0.521861,0.5131184,0.495947,0.4744213,3.468853,0.843955,-4.88356,-5.7241,-4.894898,0.889172,1.34117,1.984464,2.11468,2.51868,1.919184,1.84569,2.45542,2.391487,2.57794,2.512749,1.985216,1.843449
324,Guinea,0.6697627,1.285951,0.5994595,0.82955,0.6271,0.28189,0.6144689,0.457241,0.4963248,1.83326,0.3319133,0.591859,,2.291232,,3.574989,4.263847,9.334394,8.456484,3.55365,2.1411,18.86663,1.68247,0.3489,-1.113494,-0.7936411
328,Guyana,1.9922,3.664892,39.8923,15.7233,19.72545,11.97181,8.363977,6.941311,6.132142,6.62139,9.415325,8.42725,6.34929,3.517855,3.817189,9.31439,7.21168,8.756936,9.25836,8.9656,8.763822,9.57855,9.747281,6.77624,7.726467,3.678968
332,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Holy See (Vatican City State),,,,,,,,,,,,,,,,,,,,,,,,,,
340,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,
356,India,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Indonesia,1.29765,1.27772,1.387989,1.26831,1.192252,2.158,2.724198,2.167797,-0.252295,-1.332574,-2.75744,-1.855686,0.741516,-0.2542563,0.738244,2.916115,1.347943,1.6311,1.826329,0.939194,2.25179,2.32984,2.3978,2.551356,2.819973,2.296544
364,"Iran, Islamic Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,0.2335,,,,,,,,,,,,,,0.819477,1.31531,0.5879617,1.93876,1.4996,1.431388,1.7965,1.12863,1.559626,2.186847,2.37858,1.84679
372,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Cote D'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,
408,"Korea, Democratic People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,
410,"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,
414,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Liberia,58.59521,2.416667,-4.854586,-33.42893,13.14675,3.412463,-82.8921,72.269,52.92269,58.362,3.931467,1.5939,0.5156538,89.47596,15.87355,15.5493,17.85621,17.81229,33.35559,11.6382,34.99214,84.94554,37.25727,35.97574,35.77127,35.4492
434,Libyan Arab Jamahiriya,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Mali,0.213643,0.442422,-0.7727665,0.144146,0.8366131,4.117231,1.61117,2.335318,0.336792,0.633242,2.3729,6.25897,-0.3165487,1.53833,1.558288,2.565531,2.147824,2.529738,2.732413,6.351123,3.479526,4.285272,3.197567,2.42618,1.28437,2.16675
470,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Mauritania,0.666724,0.1572217,0.5155314,1.287412,0.15847,0.4938455,-0.31914,-0.2375211,0.9646,1.75611,3.99437,5.92314,5.84491,6.52299,22.459,37.16593,5.84382,4.1528,8.615736,-0.836952,3.529,11.3665,26.5255,19.6786,9.321934,1.35722
480,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Mongolia,,0.4674197,0.1517898,1.28,0.7452876,0.6748545,1.181524,2.116968,1.68836,2.874953,4.723387,3.391173,5.57419,8.242977,4.663498,7.434996,7.18969,8.81887,15.2162,13.6448,23.52634,43.91211,34.75598,16.378,2.762588,0.833136
498,"Moldova, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,
504,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Mozambique,0.366235,0.6893885,1.14236,1.336216,1.422377,1.784483,2.57413,1.523441,4.36465,7.198448,2.77486,5.35888,6.98162,6.1536,3.581831,1.584881,3.2146,4.44865,5.579891,8.523883,12.39338,27.926,38.7715,41.8964,29.4729,26.1435
512,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,
554,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Niger,1.645247,0.651938,2.4478,-2.13816,-0.722443,0.38219,0.496736,0.9845715,-0.492991,0.13681,0.874575,1.1698,0.3589371,0.676854,0.7981771,1.46553,1.14394,2.35626,5.217769,11.69657,13.9176,16.62914,12.25863,9.378437,9.967752,7.349613
566,Nigeria,1.911375,2.6578,3.6115,8.52922,1.83256,3.78688,4.55438,4.297446,3.284921,2.8149,2.457934,2.697522,3.1764,2.96416,2.13333,4.438848,3.33798,3.62567,3.93945,5.4766,1.632849,2.147237,1.533762,1.824,0.8189723,0.653454
570,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,
583,"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,,,,,,
585,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Papua New Guinea,4.82691,3.8187,2.382368,1.245327,1.34963,9.84955,2.158749,0.5788445,2.892944,8.52718,2.74297,2.5721,0.693866,3.95539,0.76947,0.653922,0.213532,1.49138,-0.3823914,5.167175,0.2955988,-2.46819,-0.4143964,0.1182252,-0.1795143,
600,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,
674,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,
682,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,
694,Sierra Leone,4.992682,0.9621338,-0.8233922,-0.97781,-0.3151812,0.8368628,0.75,0.2117142,0.155992,0.796555,6.13342,0.9111569,0.84466,0.6281743,4.272844,5.573697,3.122846,4.422993,2.119176,4.434973,9.111181,32.3119,19.245,8.732627,8.5373,6.185645
702,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
710,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,
732,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Sudan,-0.258734,-0.54485,0.12795,-0.1814,0.7751955,0.867695,0.44355,0.838777,3.29515,3.471245,3.199695,4.35499,4.817746,7.64565,7.42163,5.887718,5.141569,3.277591,3.3177,3.247962,3.144296,2.57639,3.392938,2.342139,1.523137,1.78761
740,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Togo,1.1274,0.4447,-0.7743587,-0.9625511,1.56922,1.998542,1.18179,1.4973,1.9139,2.721,4.7863,5.445665,3.91635,2.72876,4.12872,4.53741,4.145413,2.469796,1.62293,1.45873,3.937735,19.37574,3.14276,4.497678,1.23434,6.35768
776,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,
784,0,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,
792,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,
795,Turkmenistan,,,,2.484882,4.2168,9.386726,4.54177,4.42296,2.39923,5.1611,4.5999,4.89362,6.185527,3.78882,5.172299,5.16188,7.111584,6.75923,6.626358,22.52356,16.8411,11.6,8.918,9.52154,9.58172,11.89612
798,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Uganda,-0.137314,0.3148,0.149884,1.695421,2.21288,2.15695,2.1791,2.791365,3.189155,2.337226,2.594762,2.593888,2.988527,3.1982,3.72441,4.213616,6.479821,6.445276,5.118755,3.968968,2.695186,4.36581,5.12584,4.45312,3.79351,1.93374
804,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,
807,"Macedonia, the Former Yugoslav Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,
826,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,
834,"Tanzania, United Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,
840,United States,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,
858,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,
860,Uzbekistan,,,0.695448,0.3664398,0.5659285,-0.179769,0.6452125,1.131261,0.9313514,0.796656,0.5428631,0.7262297,0.674331,0.8155518,1.467994,1.339157,1.2837,3.16717,2.47152,2.499316,4.16522,3.561229,1.86497,1.969,1.1775,0.977571
862,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Zambia,6.1763,1.15129,1.41424,9.65168,1.93898,2.547893,3.255291,4.819577,5.596884,4.758671,3.379914,3.541352,7.114949,7.78975,5.851719,4.28432,4.827129,9.418112,5.2458,4.53278,8.533197,4.72544,6.789299,7.48713,5.553462,7.48153
